customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,avg_monthly_spend,tenure_group
4190-mfluw,female,0,yes,yes,10,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,no,credit card (automatic),55.2,528.35,1,52.835,0-1yr
4183-myfrb,female,0,no,no,21,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,90.05,1862.9,0,88.70952380952382,1-2yr
8779-qrdmv,male,0,no,no,1,no,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,yes,electronic check,39.65,39.65,1,39.65,0-1yr
1680-vdcww,male,0,yes,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),19.8,202.25,0,16.854166666666668,0-1yr
1066-jksgk,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.15,20.15,1,20.15,0-1yr
3638-weabw,female,0,yes,no,58,yes,yes,dsl,no,yes,no,yes,no,no,two year,yes,credit card (automatic),59.9,3505.1,0,60.432758620689654,4-6yr
6322-hrpfa,male,0,yes,yes,49,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,no,credit card (automatic),59.6,2970.3,0,60.61836734693878,4-6yr
6865-jznko,female,0,no,no,30,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),55.3,1530.6,0,51.019999999999996,2-4yr
6467-chfzw,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,99.35,4749.15,1,101.04574468085106,2-4yr
8665-utdhz,male,0,yes,yes,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,30.2,30.2,1,30.2,0-1yr
5248-ygijn,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),90.25,6369.45,0,88.46458333333334,4-6yr
8773-hhuoz,female,0,no,yes,17,yes,no,dsl,no,no,no,no,yes,yes,month-to-month,yes,mailed check,64.7,1093.1,1,64.3,1-2yr
3841-nfecx,female,0,yes,no,71,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,yes,credit card (automatic),96.35,6766.95,0,95.30915492957746,4-6yr
4929-xihvw,male,0,yes,no,2,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),95.5,181.65,0,90.825,0-1yr
6827-ieauq,female,0,yes,yes,27,yes,no,dsl,yes,yes,yes,yes,no,no,one year,no,mailed check,66.15,1874.45,0,69.42407407407407,2-4yr
7310-egvhz,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.2,20.2,0,20.2,0-1yr
3413-bmnze,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),45.25,45.25,0,45.25,0-1yr
6234-raapl,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,no,bank transfer (automatic),99.9,7251.7,0,100.71805555555555,4-6yr
6047-yhpvi,male,0,no,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.7,316.9,1,63.379999999999995,0-1yr
6572-adkrs,female,0,no,no,46,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,credit card (automatic),74.8,3548.3,0,77.13695652173914,2-4yr
5380-wjkov,male,0,no,no,34,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,106.35,3549.25,1,104.38970588235294,2-4yr
8168-uqwwf,female,0,no,no,11,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),97.85,1105.4,1,100.4909090909091,0-1yr
8865-tnmnx,male,0,yes,yes,10,yes,no,dsl,no,yes,no,no,no,no,one year,no,mailed check,49.55,475.7,0,47.57,0-1yr
9489-dedvp,female,0,yes,yes,70,yes,yes,dsl,yes,yes,no,no,yes,no,two year,yes,credit card (automatic),69.2,4872.35,0,69.605,4-6yr
9867-jczsp,female,0,yes,yes,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.75,418.25,0,24.602941176470587,1-2yr
4671-vjlcl,female,0,no,no,63,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,yes,credit card (automatic),79.85,4861.45,0,77.16587301587302,4-6yr
4080-iiard,female,0,yes,no,13,yes,yes,dsl,yes,yes,no,yes,yes,no,month-to-month,yes,electronic check,76.2,981.45,0,75.49615384615385,1-2yr
3714-ntnfo,female,0,no,no,49,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.5,3906.7,0,79.72857142857143,4-6yr
5948-ujzlf,male,0,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,49.25,97.0,0,48.5,0-1yr
7760-oypdy,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.65,144.15,1,72.075,0-1yr
7639-liayi,male,0,no,no,52,yes,yes,dsl,yes,no,no,yes,yes,yes,two year,yes,credit card (automatic),79.75,4217.8,0,81.11153846153846,4-6yr
2954-pibko,female,0,yes,yes,69,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),64.15,4254.1,0,61.6536231884058,4-6yr
8012-soudq,female,0,no,no,43,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,electronic check,90.25,3838.75,0,89.27325581395348,2-4yr
9420-lojkx,female,0,no,no,15,yes,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),99.1,1426.4,1,95.09333333333333,1-2yr
6575-suvoi,female,0,yes,no,25,yes,yes,dsl,yes,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),69.5,1752.65,0,70.10600000000001,2-4yr
7495-ookfy,female,0,yes,no,8,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),80.65,633.3,1,79.1625,0-1yr
4667-qonea,female,0,yes,yes,60,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),74.85,4456.35,0,74.27250000000001,4-6yr
1658-bygoy,male,0,no,no,18,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,1752.55,1,97.36388888888888,1-2yr
8769-kktph,female,0,yes,yes,63,yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,yes,credit card (automatic),99.65,6311.2,0,100.17777777777778,4-6yr
5067-xjqfu,male,0,yes,yes,66,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,108.45,7076.35,0,107.21742424242424,4-6yr
3957-sqxml,female,0,yes,yes,34,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.95,894.3,0,26.302941176470586,2-4yr
5954-bdfsg,female,0,no,no,72,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,credit card (automatic),107.5,7853.7,0,109.07916666666667,4-6yr
0434-csfon,female,0,yes,no,47,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.5,4707.1,0,100.15106382978725,2-4yr
1215-figmp,male,0,no,no,60,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.9,5450.7,0,90.845,4-6yr
0526-sxdjp,male,0,yes,no,72,no,no phone service,dsl,yes,yes,yes,no,no,no,two year,no,bank transfer (automatic),42.1,2962.0,0,41.138888888888886,4-6yr
0557-askvu,female,0,yes,yes,18,yes,no,dsl,no,no,yes,yes,no,no,one year,yes,credit card (automatic),54.4,957.1,0,53.172222222222224,1-2yr
5698-bqjoh,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,94.4,857.25,1,95.25,0-1yr
5122-cyfxa,female,0,no,no,3,yes,no,dsl,no,yes,no,yes,yes,yes,month-to-month,yes,electronic check,75.3,244.1,0,81.36666666666666,0-1yr
8627-zygsz,male,0,yes,no,47,yes,yes,fiber optic,no,yes,no,no,no,no,one year,yes,electronic check,78.9,3650.35,0,77.66702127659575,2-4yr
3410-yoqbq,female,0,no,no,31,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed check,79.2,2497.2,0,80.55483870967741,2-4yr
3170-nmyvv,female,0,yes,yes,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.15,930.9,0,18.618,4-6yr
7410-oiedu,male,0,no,no,10,yes,no,fiber optic,yes,no,yes,no,no,no,month-to-month,yes,mailed check,79.85,887.35,0,88.735,0-1yr
2273-qckxa,male,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed check,49.05,49.05,0,49.05,0-1yr
0731-ebjqb,female,0,yes,yes,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,20.4,1090.65,0,20.974038461538463,4-6yr
1891-qrqsa,male,0,yes,yes,64,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),111.6,7099.0,0,110.921875,4-6yr
8028-pnxhq,male,0,yes,yes,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),24.25,1424.6,0,22.97741935483871,4-6yr
5630-ahzil,female,0,no,yes,3,yes,no,dsl,yes,no,no,yes,no,yes,month-to-month,yes,bank transfer (automatic),64.5,177.4,0,59.13333333333333,0-1yr
2673-cxqeu,female,0,no,no,56,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,no,electronic check,110.5,6139.5,0,109.63392857142857,4-6yr
6416-jnvrk,female,0,no,no,46,yes,no,dsl,no,no,no,no,no,yes,one year,no,credit card (automatic),55.65,2688.85,0,58.45326086956521,2-4yr
5590-zskrv,female,0,yes,yes,8,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,no,mailed check,54.65,482.25,0,60.28125,0-1yr
0191-zhskz,male,0,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,2111.3,0,70.37666666666668,2-4yr
3887-pbqao,female,0,yes,yes,45,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card (automatic),25.9,1216.6,0,27.035555555555554,2-4yr
5919-tmrgd,female,0,no,yes,1,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,79.35,79.35,1,79.35,0-1yr
8108-uxrqn,female,0,yes,yes,11,no,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,no,electronic check,50.55,565.35,0,51.39545454545455,0-1yr
9191-myqkx,female,0,yes,no,7,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),75.15,496.9,1,70.98571428571428,0-1yr
9919-ylnng,female,0,no,no,42,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),103.8,4327.5,0,103.03571428571429,2-4yr
0318-zopws,female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),20.15,973.35,0,19.864285714285714,4-6yr
4445-zjnmu,male,0,no,no,9,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),99.3,918.75,0,102.08333333333333,0-1yr
4808-ynleu,female,0,yes,no,35,yes,no,dsl,yes,no,no,no,yes,no,one year,yes,bank transfer (automatic),62.15,2215.45,0,63.29857142857142,2-4yr
1862-qrwpe,female,0,yes,yes,48,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.65,1057.0,0,22.020833333333332,2-4yr
2796-nnufi,female,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.95,927.1,0,20.15434782608696,2-4yr
3016-ksvcp,male,0,yes,no,29,no,no phone service,dsl,no,no,no,no,yes,no,month-to-month,no,mailed check,33.75,1009.25,0,34.80172413793103,2-4yr
4767-hzzhq,male,0,yes,yes,30,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),82.05,2570.2,0,85.67333333333333,2-4yr
2424-wvhpl,male,0,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,no,electronic check,74.7,74.7,0,74.7,0-1yr
7233-pahhl,male,0,yes,yes,66,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,mailed check,84.0,5714.25,0,86.57954545454545,4-6yr
6067-ngceu,female,0,no,no,65,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),111.05,7107.0,0,109.33846153846154,4-6yr
9848-jqjtx,male,0,no,no,72,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),100.9,7459.05,0,103.59791666666666,4-6yr
8637-xjivr,female,0,no,no,12,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,78.95,927.35,1,77.27916666666667,0-1yr
9803-ftjcg,male,0,yes,yes,71,yes,yes,dsl,yes,yes,no,yes,no,no,one year,yes,credit card (automatic),66.85,4748.7,0,66.8830985915493,4-6yr
0278-yxoog,male,0,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,21.05,113.85,1,22.77,0-1yr
3212-kxocr,male,0,no,no,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),21.0,1107.2,0,21.292307692307695,4-6yr
4598-xlknj,female,0,yes,no,25,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.5,2514.5,1,100.58,2-4yr
6380-arceh,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.2,20.2,0,20.2,0-1yr
3679-xaspy,female,0,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,19.45,19.45,0,19.45,0-1yr
7123-wquhx,male,0,no,no,38,yes,yes,fiber optic,no,no,yes,yes,yes,no,one year,no,bank transfer (automatic),95.0,3605.6,0,94.88421052631578,2-4yr
5386-thslq,female,0,yes,no,66,no,no phone service,dsl,no,yes,yes,no,yes,no,one year,no,bank transfer (automatic),45.55,3027.25,0,45.86742424242424,4-6yr
3192-nqeca,male,0,yes,no,68,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),110.0,7611.85,1,111.93897058823529,4-6yr
6180-ybiqi,male,0,no,no,5,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,24.3,100.2,0,20.04,0-1yr
6728-dkuco,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,yes,electronic check,104.15,7303.05,0,101.43125,4-6yr
9750-boohv,female,0,no,no,32,no,no phone service,dsl,yes,no,no,no,no,no,one year,no,mailed check,30.15,927.65,0,28.9890625,2-4yr
8597-cwyhh,male,0,no,no,43,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,no,mailed check,94.35,3921.3,0,91.19302325581396,2-4yr
2848-yxsmw,male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,1363.25,0,18.93402777777778,4-6yr
0486-heczi,male,0,yes,no,55,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,96.75,5238.9,1,95.25272727272727,4-6yr
4549-zdqyy,female,0,no,no,52,yes,no,dsl,yes,no,yes,yes,no,no,one year,no,credit card (automatic),57.95,3042.25,0,58.50480769230769,4-6yr
5712-ahqnn,female,0,no,no,43,yes,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,electronic check,91.65,3954.1,0,91.95581395348837,2-4yr
4846-whafz,female,0,yes,no,37,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.5,2868.15,1,77.51756756756757,2-4yr
5256-skjgo,female,0,yes,yes,64,no,no phone service,dsl,no,yes,no,yes,yes,yes,two year,yes,electronic check,54.6,3423.5,0,53.4921875,4-6yr
3071-vbypo,male,0,yes,yes,3,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,89.85,248.4,0,82.8,0-1yr
9560-bbzxk,female,0,no,no,36,no,no phone service,dsl,yes,no,no,no,no,no,two year,no,bank transfer (automatic),31.05,1126.35,0,31.287499999999998,2-4yr
5299-ruloa,female,0,yes,yes,10,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic check,100.25,1064.65,1,106.465,0-1yr
8402-ooohj,female,0,no,no,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.65,835.15,0,20.36951219512195,2-4yr
9445-zueqe,male,0,yes,yes,27,yes,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,credit card (automatic),85.2,2151.6,0,79.68888888888888,2-4yr
1091-sozga,female,0,yes,yes,56,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card (automatic),99.8,5515.45,0,98.49017857142857,4-6yr
2928-hldba,female,0,no,no,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.7,112.75,0,18.791666666666668,0-1yr
0404-swrvg,male,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.4,229.55,1,76.51666666666667,0-1yr
6497-tilvl,female,0,yes,yes,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,50.7,350.35,0,50.050000000000004,0-1yr
7219-tlzho,female,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.85,62.9,0,15.725,0-1yr
4622-ynkij,male,0,no,no,33,yes,no,fiber optic,yes,no,no,yes,yes,no,two year,yes,electronic check,88.95,3027.65,0,91.7469696969697,2-4yr
4412-yltkf,female,0,no,no,27,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,78.05,2135.5,1,79.0925925925926,2-4yr
6734-psbaw,male,0,yes,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),23.55,1723.95,0,23.94375,4-6yr
3930-zgwve,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.75,19.75,0,19.75,0-1yr
2639-ugmaz,male,0,no,no,71,no,no phone service,dsl,yes,yes,no,no,yes,yes,one year,yes,electronic check,56.45,3985.35,0,56.131690140845066,4-6yr
2876-gzyzc,female,0,no,no,13,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.95,1215.65,0,93.51153846153846,1-2yr
6207-wiolx,female,0,yes,yes,25,no,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),58.6,1502.65,1,60.106,2-4yr
8587-xyzsf,male,0,no,no,67,yes,no,dsl,no,no,no,yes,no,no,two year,no,bank transfer (automatic),50.55,3260.1,0,48.65820895522388,4-6yr
3091-fyhki,male,0,no,no,1,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,35.45,35.45,1,35.45,0-1yr
2372-hwuhi,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.35,81.25,1,40.625,0-1yr
7799-lgrdp,female,0,no,no,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),25.7,1188.2,0,27.632558139534886,2-4yr
7850-vwjuu,female,0,no,no,23,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.0,1778.5,0,77.32608695652173,1-2yr
3774-vbnxy,female,0,yes,yes,64,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.2,1277.75,0,19.96484375,4-6yr
6217-kdywc,male,0,no,yes,57,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.6,1170.55,0,20.5359649122807,4-6yr
0390-dcfdq,female,0,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.45,70.45,1,70.45,0-1yr
3146-msegf,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),88.05,6425.65,0,89.24513888888889,4-6yr
4080-ogpjl,female,0,no,no,8,yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,no,electronic check,71.15,563.65,1,70.45625,0-1yr
1095-wgngg,female,0,yes,no,61,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,yes,bank transfer (automatic),101.05,5971.25,0,97.88934426229508,4-6yr
2636-sjdou,male,0,no,no,64,yes,yes,fiber optic,yes,yes,no,no,no,no,one year,yes,credit card (automatic),84.3,5289.05,0,82.64140625,4-6yr
1131-qqzeb,male,0,yes,no,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),23.95,1756.2,0,24.735211267605635,4-6yr
5716-ezxzn,female,0,yes,yes,65,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,yes,credit card (automatic),99.05,6416.7,0,98.71846153846154,4-6yr
6837-bjydq,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.6,61.35,0,20.45,0-1yr
2135-rxihg,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.65,45.65,1,45.65,0-1yr
6440-dkqge,male,0,no,yes,30,yes,no,dsl,no,yes,yes,no,yes,no,one year,no,credit card (automatic),64.5,1929.95,0,64.33166666666666,2-4yr
3466-byavd,male,0,yes,yes,15,yes,no,dsl,no,yes,yes,yes,no,yes,month-to-month,yes,mailed check,69.5,1071.4,0,71.42666666666668,1-2yr
3780-yvmfa,female,0,yes,yes,8,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,68.55,564.35,0,70.54375,0-1yr
3874-eqoep,male,0,no,no,7,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,mailed check,95.0,655.5,1,93.64285714285714,0-1yr
1679-jrfbr,female,0,yes,yes,70,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card (automatic),108.15,7930.55,0,113.29357142857143,4-6yr
9073-zziay,male,0,yes,yes,62,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,electronic check,86.1,5215.25,0,84.11693548387096,4-6yr
3077-rsntj,female,0,yes,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.7,113.5,0,18.916666666666668,0-1yr
6551-gnydg,female,0,yes,yes,14,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,bank transfer (automatic),80.9,1152.8,0,82.34285714285714,1-2yr
9167-apmxz,female,0,no,no,22,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),84.15,1821.95,0,82.81590909090909,1-2yr
2749-ctkaj,male,0,yes,yes,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.15,419.9,0,19.086363636363636,1-2yr
6371-nzyeg,male,0,yes,yes,16,yes,no,dsl,yes,no,yes,no,yes,no,two year,no,mailed check,64.25,1024.0,0,64.0,1-2yr
7554-newdd,male,0,no,no,10,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),25.7,251.6,0,25.16,0-1yr
8992-vonjd,female,0,no,yes,13,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,electronic check,56.0,764.55,0,58.81153846153846,1-2yr
0867-mkzvy,female,0,yes,no,20,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,82.4,1592.35,1,79.61749999999999,1-2yr
